county_name,county,vtd,race,party,n
TYRRELL,37177,371771,white,dem,8
TYRRELL,37177,371771,white,ind,6
TYRRELL,37177,371771,white,rep,8
TYRRELL,37177,371771,black,dem,85
TYRRELL,37177,371771,black,ind,7
TYRRELL,37177,371771,black,rep,3
TYRRELL,37177,371771,hisp,dem,1
TYRRELL,37177,371771,other,ind,1
TYRRELL,37177,3717714,white,dem,7
TYRRELL,37177,3717714,white,ind,23
TYRRELL,37177,3717714,white,rep,4
TYRRELL,37177,3717714,white,lib,1
TYRRELL,37177,3717715,white,dem,47
TYRRELL,37177,3717715,white,ind,113
TYRRELL,37177,3717715,white,rep,50
TYRRELL,37177,3717715,black,dem,86
TYRRELL,37177,3717715,black,ind,10
TYRRELL,37177,3717715,black,rep,2
TYRRELL,37177,3717715,hisp,ind,1
TYRRELL,37177,3717715,hisp,rep,2
TYRRELL,37177,3717715,other,ind,1
TYRRELL,37177,3717715,other,rep,1
TYRRELL,37177,3717716,white,dem,1
TYRRELL,37177,3717716,white,ind,4
TYRRELL,37177,3717716,white,rep,5
TYRRELL,37177,3717716,black,dem,3
TYRRELL,37177,3717716,hisp,dem,1
TYRRELL,37177,371772,white,dem,192
TYRRELL,37177,371772,white,ind,295
TYRRELL,37177,371772,white,rep,141
TYRRELL,37177,371772,white,lib,5
TYRRELL,37177,371772,black,dem,166
TYRRELL,37177,371772,black,ind,21
TYRRELL,37177,371772,black,rep,3
TYRRELL,37177,371772,hisp,dem,9
TYRRELL,37177,371772,hisp,ind,14
TYRRELL,37177,371772,hisp,rep,3
TYRRELL,37177,371772,other,dem,1
TYRRELL,37177,371772,other,ind,10
TYRRELL,37177,371772,other,rep,6
TYRRELL,37177,371773,white,dem,19
TYRRELL,37177,371773,white,ind,39
TYRRELL,37177,371773,white,rep,18
TYRRELL,37177,371773,black,dem,20
TYRRELL,37177,371773,black,ind,5
TYRRELL,37177,371773,black,rep,1
TYRRELL,37177,371773,other,ind,1
